domain,var,type,length,label,role,core,codelist_id,order,is_key,to_supp,rule_type,rule_params,depends_on
PR,PRSEQ,num,8,Sequence Number,Identifier,Req,,4,Y,N,seq,"{""by"":[""STUDYID"",""USUBJID""],""order_by"":[""PRSTDTC"",""PRTRT""],""ties"":""dense""}",PRSTDTC;PRTRT
PR,PRTRT,char,200,Reported Name of Procedure,Topic,Req,,5,N,N,direct_map,"{""dataset"":""pr_raw"",""column"":""prtrt"",""transform"":""toupper""}",
PR,PRCAT,char,40,Category for Procedure,Grouping Qualifier,Exp,,6,N,N,direct_map,"{""dataset"":""pr_raw"",""column"":""prcat"",""transform"":""toupper""}",
PR,PRPRESP,char,2,Procedure Pre-Specified,Record Qualifier,Perm,YN,7,N,N,ct_assign,"{""dataset"":""pr_raw"",""column"":""prpresp_raw"",""codelist_id"":""YN""}",
PR,PRSTDTC,char,20,Start Date/Time of Procedure,Timing,Exp,,8,N,N,iso_dtc,"{""date_col"":{""dataset"":""pr_raw"",""column"":""prstdat""},""time_col"":{""dataset"":""pr_raw"",""column"":""prstim""},""partial_allowed"":true}",
PR,PRENDTC,char,20,End Date/Time of Procedure,Timing,Perm,,9,N,N,iso_dtc,"{""date_col"":{""dataset"":""pr_raw"",""column"":""prendat""},""time_col"":null,""partial_allowed"":true}",
PR,PRSTDY,num,8,Study Day of Start of Procedure,Timing,Exp,,10,N,N,dy,"{""dtc_var"":""PRSTDTC"",""ref_var"":""RFSTDTC"",""ref_dataset"":""dm_raw"",""ref_column"":""rfstdtc""}",PRSTDTC
PR,EPOCH,char,20,Epoch,Timing,Perm,,11,N,N,epoch,"{""dtc_var"":""PRSTDTC"",""ref_var"":""RFSTDTC""}",PRSTDTC
DM,STUDYID,char,20,Study Identifier,Identifier,Req,,1,Y,N,constant,"{""value"":""STUDY-XYZ""}",
DM,DOMAIN,char,2,Domain Abbreviation,Identifier,Req,,2,Y,N,constant,"{""value"":""DM""}",
DM,USUBJID,char,40,Unique Subject Identifier,Identifier,Req,,3,Y,N,direct_map,"{""dataset"":""dm_raw"",""column"":""usubjid""}",
DM,SUBJID,char,20,Subject Identifier for the Study,Identifier,Req,,4,N,N,direct_map,"{""dataset"":""dm_raw"",""column"":""subjid""}",
DM,RFSTDTC,char,20,Subject Reference Start Date/Time,Timing,Req,,5,N,N,direct_map,"{""dataset"":""dm_raw"",""column"":""rfstdtc""}",
DM,RFENDTC,char,20,Subject Reference End Date/Time,Timing,Exp,,6,N,N,direct_map,"{""dataset"":""dm_raw"",""column"":""rfendtc""}",
DM,SITEID,char,20,Study Site Identifier,Record Qualifier,Req,,7,N,N,direct_map,"{""dataset"":""dm_raw"",""column"":""siteid""}",
DM,BRTHDTC,char,20,Date/Time of Birth,Record Qualifier,Exp,,8,N,N,direct_map,"{""dataset"":""dm_raw"",""column"":""brthdtc""}",
DM,AGE,num,8,Age,Record Qualifier,Exp,,9,N,N,direct_map,"{""dataset"":""dm_raw"",""column"":""age""}",
DM,AGEU,char,10,Age Units,Record Qualifier,Exp,AGEU,10,N,N,ct_assign,"{""dataset"":""dm_raw"",""column"":""ageu_raw"",""codelist_id"":""AGEU""}",
DM,SEX,char,2,Sex,Record Qualifier,Req,SEX,11,N,N,ct_assign,"{""dataset"":""dm_raw"",""column"":""sex"",""codelist_id"":""SEX""}",
DM,RACE,char,60,Race,Record Qualifier,Exp,RACE,12,N,N,ct_assign,"{""dataset"":""dm_raw"",""column"":""race"",""codelist_id"":""RACE""}",
DM,ARMCD,char,20,Planned Arm Code,Record Qualifier,Req,,13,N,N,direct_map,"{""dataset"":""dm_raw"",""column"":""armcd"",""transform"":""toupper""}",
DM,ARM,char,200,Description of Planned Arm,Record Qualifier,Req,,14,N,N,direct_map,"{""dataset"":""dm_raw"",""column"":""arm""}",
DM,ACTARMCD,char,20,Actual Arm Code,Record Qualifier,Req,,15,N,N,direct_map,"{""dataset"":""dm_raw"",""column"":""armcd"",""transform"":""toupper""}",
DM,ACTARM,char,200,Description of Actual Arm,Record Qualifier,Req,,16,N,N,direct_map,"{""dataset"":""dm_raw"",""column"":""arm""}",
EX,STUDYID,char,20,Study Identifier,Identifier,Req,,1,Y,N,constant,"{""value"":""STUDY-XYZ""}",
EX,DOMAIN,char,2,Domain Abbreviation,Identifier,Req,,2,Y,N,constant,"{""value"":""EX""}",
EX,USUBJID,char,40,Unique Subject Identifier,Identifier,Req,,3,Y,N,direct_map,"{""dataset"":""ex_raw"",""column"":""usubjid""}",
EX,EXSEQ,num,8,Sequence Number,Identifier,Req,,4,Y,N,seq,"{""by"":[""STUDYID"",""USUBJID""],""order_by"":[""EXSTDTC"",""EXTRT""],""ties"":""dense""}",EXSTDTC;EXTRT
EX,EXTRT,char,200,Name of Treatment,Topic,Req,,5,N,N,direct_map,"{""dataset"":""ex_raw"",""column"":""extrt"",""transform"":""toupper""}",
EX,EXDOSE,num,8,Dose per Administration,Record Qualifier,Exp,,6,N,N,direct_map,"{""dataset"":""ex_raw"",""column"":""exdose""}",
EX,EXDOSU,char,20,Dose Units,Variable Qualifier,Exp,UNIT,7,N,N,ct_assign,"{""dataset"":""ex_raw"",""column"":""exdosu_raw"",""codelist_id"":""UNIT""}",
EX,EXDOSFRQ,char,20,Dosing Frequency per Interval,Record Qualifier,Exp,FREQ,8,N,N,ct_assign,"{""dataset"":""ex_raw"",""column"":""exdosfrq_raw"",""codelist_id"":""FREQ""}",
EX,EXROUTE,char,40,Route of Administration,Record Qualifier,Exp,ROUTE,9,N,N,ct_assign,"{""dataset"":""ex_raw"",""column"":""exroute_raw"",""codelist_id"":""ROUTE""}",
EX,EXSTDTC,char,20,Start Date/Time of Treatment,Timing,Exp,,10,N,N,iso_dtc,"{""date_col"":{""dataset"":""ex_raw"",""column"":""exstdat""},""time_col"":null,""partial_allowed"":true}",
EX,EXENDTC,char,20,End Date/Time of Treatment,Timing,Exp,,11,N,N,iso_dtc,"{""date_col"":{""dataset"":""ex_raw"",""column"":""exendat""},""time_col"":null,""partial_allowed"":true}",
EX,EXSTDY,num,8,Study Day of Start of Treatment,Timing,Exp,,12,N,N,dy,"{""dtc_var"":""EXSTDTC"",""ref_var"":""RFSTDTC"",""ref_dataset"":""dm_raw"",""ref_column"":""rfstdtc""}",EXSTDTC
EX,EPOCH,char,20,Epoch,Timing,Perm,,13,N,N,epoch,"{""dtc_var"":""EXSTDTC"",""ref_var"":""RFSTDTC""}",EXSTDTC
VS,STUDYID,char,20,Study Identifier,Identifier,Req,,1,Y,N,constant,"{""value"":""STUDY-XYZ""}",
VS,DOMAIN,char,2,Domain Abbreviation,Identifier,Req,,2,Y,N,constant,"{""value"":""VS""}",
VS,USUBJID,char,40,Unique Subject Identifier,Identifier,Req,,3,Y,N,direct_map,"{""dataset"":""vs_raw"",""column"":""usubjid""}",
VS,VSSEQ,num,8,Sequence Number,Identifier,Req,,4,Y,N,seq,"{""by"":[""STUDYID"",""USUBJID""],""order_by"":[""VSDTC"",""VSTESTCD""],""ties"":""dense""}",VSDTC;VSTESTCD
VS,VSTESTCD,char,8,Vital Signs Test Short Name,Topic,Req,,5,N,N,direct_map,"{""dataset"":""vs_raw"",""column"":""vstestcd"",""transform"":""toupper""}",
VS,VSTEST,char,40,Vital Signs Test Name,Synonym Qualifier,Req,,6,N,N,direct_map,"{""dataset"":""vs_raw"",""column"":""vstest""}",
VS,VSORRES,char,40,Result or Finding in Original Units,Result Qualifier,Exp,,7,N,N,direct_map,"{""dataset"":""vs_raw"",""column"":""vsorres""}",
VS,VSORRESU,char,20,Original Units,Variable Qualifier,Exp,,8,N,N,direct_map,"{""dataset"":""vs_raw"",""column"":""vsorresu""}",
VS,VSSTRESC,char,40,Character Result in Std Format,Result Qualifier,Exp,,9,N,N,direct_map,"{""dataset"":""vs_raw"",""column"":""vsorres""}",
VS,VSSTRESN,num,8,Numeric Result in Standard Units,Result Qualifier,Exp,,10,N,N,direct_map,"{""dataset"":""vs_raw"",""column"":""vsorres""}",
VS,VSSTRESU,char,20,Standard Units,Variable Qualifier,Exp,,11,N,N,direct_map,"{""dataset"":""vs_raw"",""column"":""vsorresu""}",
VS,VSDTC,char,20,Date/Time of Measurements,Timing,Exp,,12,N,N,iso_dtc,"{""date_col"":{""dataset"":""vs_raw"",""column"":""vsdat""},""time_col"":{""dataset"":""vs_raw"",""column"":""vstim""},""partial_allowed"":true}",
VS,VSDY,num,8,Study Day of Vital Signs,Timing,Exp,,13,N,N,dy,"{""dtc_var"":""VSDTC"",""ref_var"":""RFSTDTC"",""ref_dataset"":""dm_raw"",""ref_column"":""rfstdtc""}",VSDTC
VS,VISIT,char,40,Visit Name,Timing,Exp,,14,N,N,direct_map,"{""dataset"":""vs_raw"",""column"":""visit""}",
VS,VISITNUM,num,8,Visit Number,Timing,Exp,,15,N,N,direct_map,"{""dataset"":""vs_raw"",""column"":""visitnum""}",
VS,VSBLFL,char,2,Baseline Flag,Record Qualifier,Exp,YN,16,N,N,direct_map,"{""dataset"":""vs_raw"",""column"":""vsblfl""}",
VS,EPOCH,char,20,Epoch,Timing,Perm,,17,N,N,epoch,"{""dtc_var"":""VSDTC"",""ref_var"":""RFSTDTC""}",VSDTC
LB,STUDYID,char,20,Study Identifier,Identifier,Req,,1,Y,N,constant,"{""value"":""STUDY-XYZ""}",
LB,DOMAIN,char,2,Domain Abbreviation,Identifier,Req,,2,Y,N,constant,"{""value"":""LB""}",
LB,USUBJID,char,40,Unique Subject Identifier,Identifier,Req,,3,Y,N,direct_map,"{""dataset"":""lb_raw"",""column"":""usubjid""}",
LB,LBSEQ,num,8,Sequence Number,Identifier,Req,,4,Y,N,seq,"{""by"":[""STUDYID"",""USUBJID""],""order_by"":[""LBDTC"",""LBTESTCD""],""ties"":""dense""}",LBDTC;LBTESTCD
LB,LBTESTCD,char,8,Lab Test or Examination Short Name,Topic,Req,,5,N,N,direct_map,"{""dataset"":""lb_raw"",""column"":""lbtestcd"",""transform"":""toupper""}",
LB,LBTEST,char,40,Lab Test or Examination Name,Synonym Qualifier,Req,,6,N,N,direct_map,"{""dataset"":""lb_raw"",""column"":""lbtest""}",
LB,LBORRES,char,40,Result or Finding in Original Units,Result Qualifier,Exp,,7,N,N,direct_map,"{""dataset"":""lb_raw"",""column"":""lborres""}",
LB,LBORRESU,char,20,Original Units,Variable Qualifier,Exp,,8,N,N,direct_map,"{""dataset"":""lb_raw"",""column"":""lborresu""}",
LB,LBSTRESC,char,40,Character Result in Std Format,Result Qualifier,Exp,,9,N,N,direct_map,"{""dataset"":""lb_raw"",""column"":""lborres""}",
LB,LBSTRESN,num,8,Numeric Result in Standard Units,Result Qualifier,Exp,,10,N,N,direct_map,"{""dataset"":""lb_raw"",""column"":""lborres""}",
LB,LBSTRESU,char,20,Standard Units,Variable Qualifier,Exp,,11,N,N,direct_map,"{""dataset"":""lb_raw"",""column"":""lborresu""}",
LB,LBDTC,char,20,Date/Time of Specimen Collection,Timing,Exp,,12,N,N,iso_dtc,"{""date_col"":{""dataset"":""lb_raw"",""column"":""lbdat""},""time_col"":{""dataset"":""lb_raw"",""column"":""lbtim""},""partial_allowed"":true}",
LB,LBDY,num,8,Study Day of Specimen Collection,Timing,Exp,,13,N,N,dy,"{""dtc_var"":""LBDTC"",""ref_var"":""RFSTDTC"",""ref_dataset"":""dm_raw"",""ref_column"":""rfstdtc""}",LBDTC
LB,VISIT,char,40,Visit Name,Timing,Exp,,14,N,N,direct_map,"{""dataset"":""lb_raw"",""column"":""visit""}",
LB,VISITNUM,num,8,Visit Number,Timing,Exp,,15,N,N,direct_map,"{""dataset"":""lb_raw"",""column"":""visitnum""}",
LB,EPOCH,char,20,Epoch,Timing,Perm,,16,N,N,epoch,"{""dtc_var"":""LBDTC"",""ref_var"":""RFSTDTC""}",LBDTC
